created_at,entry_id,Acc_x,Acc_y,Gyro_x,Gyro_y,EMG,latitude,longitude,elevation,status
2024-01-12T15:41:40+00:00,290,9.43555,2.83713,-0.06155,0.01466,2163,,,,
2024-01-12T15:41:56+00:00,291,9.48104,2.63362,-0.0477,0.00986,2151,,,,
2024-01-12T15:42:13+00:00,292,9.414,2.75094,-0.01279,-0.00053,2160,,,,
2024-01-12T15:42:29+00:00,293,9.42597,2.71263,-0.06502,0.02585,2173,,,,
2024-01-12T15:42:44+00:00,294,9.43794,2.70545,-0.06235,0.02398,2155,,,,
2024-01-12T15:43:00+00:00,295,9.42118,2.61207,-0.04583,0.01306,2117,,,,
2024-01-12T15:43:16+00:00,296,9.40203,2.62165,-0.05462,0.02078,2155,,,,
2024-01-12T15:43:31+00:00,297,9.4164,2.57377,-0.05462,0.02611,2193,,,,
2024-01-12T15:43:49+00:00,298,9.42118,2.58574,-0.06075,0.03198,2202,,,,
2024-01-12T15:44:07+00:00,299,0.01676,-4.65672,-0.08607,-0.0469,2256,,,,
2024-01-12T15:44:23+00:00,300,0.52433,-6.84742,-0.02558,-0.05782,2251,,,,
2024-01-12T15:44:42+00:00,301,0.50039,-6.67503,-0.06368,0.00719,2259,,,,
2024-01-12T15:44:58+00:00,302,0.68953,-6.65349,-0.0485,0.02292,2256,,,,
2024-01-12T15:45:16+00:00,303,0.65601,-6.58166,-0.0453,0.01812,2279,,,,
2024-01-12T15:45:33+00:00,304,0.62968,-6.52659,-0.04183,0.02025,2260,,,,
2024-01-12T15:45:48+00:00,305,0.62249,-6.48589,-0.05969,0.02638,2249,,,,
2024-01-12T15:46:10+00:00,306,0.61531,-6.46434,-0.05036,0.01945,2255,,,,
2024-01-12T15:46:26+00:00,307,-2.46603,-5.68384,-0.11964,-0.15135,2262,,,,
2024-01-12T15:46:42+00:00,308,-0.00958,-6.59363,-0.05756,0.02212,2254,,,,
2024-01-12T15:46:59+00:00,309,-0.10056,-6.68222,-0.06715,0.01865,2266,,,,
2024-01-12T15:47:15+00:00,310,-0.1652,-6.62236,-0.06715,0.01519,2261,,,,
2024-01-12T15:47:31+00:00,311,-0.17238,-6.67503,-0.05143,0.01972,2242,,,,
2024-01-12T15:47:47+00:00,312,-0.30646,-6.68461,-0.05676,0.01732,2251,,,,
2024-01-12T15:48:02+00:00,313,-0.22505,-6.62236,-0.05009,0.02105,2249,,,,
2024-01-12T15:48:19+00:00,314,-0.24181,-6.51223,-0.04823,0.0381,2239,,,,
2024-01-12T15:48:36+00:00,315,-0.23463,-6.62715,-0.02691,0.02345,2238,,,,
2024-01-12T15:48:51+00:00,316,-0.19872,-6.5673,-0.05649,0.02052,2239,,,,
2024-01-12T15:49:08+00:00,317,-0.23224,-6.608,-0.06742,0.01332,2243,,,,
2024-01-12T15:49:23+00:00,318,-0.19632,-6.66306,-0.02798,0.01599,2230,,,,
2024-01-12T15:49:40+00:00,319,-0.21787,-6.59124,-0.05729,0.01972,2226,,,,
2024-01-12T15:49:55+00:00,320,-0.26576,-6.56251,-0.04263,0.02451,2224,,,,
2024-01-12T15:50:14+00:00,321,-0.17957,-6.66785,-0.06715,0.01439,2224,,,,
2024-01-12T15:50:31+00:00,322,-0.26576,-6.65828,-0.04423,0.01279,2224,,,,
2024-01-12T15:50:48+00:00,323,-0.22266,-6.61039,-0.07328,0.01146,2218,,,,
2024-01-12T15:51:04+00:00,324,-0.18196,-6.66067,-0.07061,0.03038,2209,,,,
2024-01-12T15:51:23+00:00,325,-0.18914,-6.63673,-0.05995,0.02238,2209,,,,
2024-01-12T15:51:39+00:00,326,-0.21069,-6.63673,-0.05196,0.02425,2205,,,,
2024-01-12T15:51:55+00:00,327,-0.21308,-6.66306,-0.05729,0.02105,2205,,,,
2024-01-12T15:52:13+00:00,328,-0.20111,-6.65109,-0.04663,0.01865,2186,,,,
2024-01-12T15:52:29+00:00,329,-0.21787,-6.75883,-0.04397,0.01919,2179,,,,
2024-01-12T15:52:45+00:00,330,-0.20351,-6.66785,-0.06742,0.02132,2179,,,,
2024-01-12T15:53:00+00:00,331,-0.19632,-6.66067,-0.06022,0.02851,2175,,,,
2024-01-12T15:53:16+00:00,332,-0.21069,-6.66546,-0.06795,0.02638,2157,,,,
2024-01-12T15:53:34+00:00,333,-0.249,-6.67743,-0.05089,0.02185,2140,,,,
2024-01-12T15:53:51+00:00,334,-0.23942,-6.7301,-0.05596,0.01785,2132,,,,
